hair_length,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,Gender
0CM,12.6,5.1,1,1,1,1,Male
33CM,12.2,5.1,0,0,0,1,Female
34CM,13.3,6.5,1,0,0,1,Female
42CM,13.4,6.1,0,0,0,0,Female
25CM,12.3,6.1,1,0,0,0,Female
38CM,12.1,6.1,0,0,0,0,Female
13CM,11.8,5.5,0,0,0,0,Female
4CM,13.4,6.7,1,1,1,1,Male
36CM,12.9,5.1,0,0,0,0,Female
9CM,11.5,6,1,1,1,1,Male
31CM,13,5.7,0,0,0,1,Female
46CM,11.4,5.9,0,0,0,0,Female
12CM,13.2,6.3,1,0,1,1,Male
5CM,13.7,5.3,0,0,0,0,Female
14CM,14,5.1,1,0,0,0,Female
5CM,11.6,6.8,1,0,1,1,Male
0CM,14,5.7,1,1,1,1,Male
1CM,15.1,7,1,1,1,1,Male
0CM,15.5,7,1,1,1,1,Male
30CM,12.1,6,0,0,0,0,Female
7CM,11.7,5.5,0,1,1,1,Male
9CM,15.1,5.2,1,1,1,1,Male
1CM,14.2,7.1,1,1,1,1,Male
45CM,13.1,5.5,0,0,0,0,Female
46CM,12.1,5.1,0,0,0,0,Female
19CM,13.1,6.4,1,0,0,0,Female
39CM,11.8,6.5,0,0,0,0,Female
43CM,13.9,5.8,1,0,0,0,Female
2CM,12.8,5.7,1,1,1,1,Male
42CM,12.8,5.1,0,0,0,0,Female
1CM,11.5,6.4,1,1,1,1,Male
9CM,14.2,5.2,0,0,0,0,Female
11CM,15.5,6.2,1,1,1,1,Male
2CM,12.5,7,0,1,1,1,Male
41CM,11.6,5.2,0,0,0,0,Female
8CM,13.2,5.3,0,0,0,1,Female
0CM,12.7,5.1,0,1,0,1,Male
1CM,13.9,5.6,1,1,1,1,Male
11CM,15,6.1,1,1,1,1,Male
35CM,12.3,6.2,0,0,0,0,Female
30CM,13.1,5.7,0,0,0,1,Female
10CM,12.4,6.4,1,1,1,1,Male
11CM,14.3,5.1,1,1,1,1,Male
26CM,12.2,5.3,1,0,0,0,Female
7CM,15,6.1,1,1,1,1,Male
6CM,14.8,5.8,1,1,1,1,Male
9CM,13.7,5.6,1,1,1,1,
3CM,13.8,6.1,1,1,1,1,Male
2CM,15.3,5.8,1,1,1,1,Male
26CM,11.8,6.5,0,0,0,0,Female
49CM,14,6.3,0,0,1,0,Female
24CM,11.4,5.2,0,0,0,0,Female
12CM,15,6.1,1,1,1,1,Male
8CM,12.1,7,1,1,1,0,Male
14CM,13.4,6.2,1,1,1,1,Male
22CM,14.2,5.3,0,0,0,0,Female
4CM,15.5,6.9,1,1,0,1,Male
6CM,14.4,6,1,1,1,1,Male
10CM,14.4,6.8,1,1,1,1,Male
10CM,12.5,6.5,0,0,0,1,Female
1CM,13.4,6.1,1,1,1,0,Male
24CM,13.6,6.4,0,0,0,0,Female
8CM,11.5,6.4,1,1,1,1,Male
32CM,12.9,6.1,0,1,0,0,Female
10CM,12.3,5.1,1,0,1,1,Male
0CM,14.5,5.6,1,0,1,1,Male
42CM,12.3,6.3,0,0,0,0,Female
9CM,13.3,6.5,1,0,0,0,Female
5CM,14.1,6.6,1,1,1,1,Male
12CM,12.9,6.3,0,0,0,0,Female
11CM,15.3,6.5,1,1,1,1,Male
6CM,14.6,7.1,1,1,1,1,Male
8CM,11.6,5.7,0,0,0,0,Female
36CM,13.2,5.3,1,0,0,0,Female
4CM,13.2,5.1,1,1,1,0,Male
17CM,13.5,5.3,0,0,1,0,Female
0CM,14.9,6.1,0,1,1,1,Male
42CM,13.9,5.9,0,0,0,0,Female
12CM,12.6,6.9,1,0,1,1,Male
4CM,12.8,6.3,1,0,1,1,Male
8CM,14.1,5.7,0,1,0,0,Female
47CM,13.6,6.3,1,0,0,0,Female
1CM,15.3,5.2,1,1,1,1,Male
35CM,13.4,6.1,0,0,0,1,Female
39CM,13.8,6.4,0,0,0,0,Female
14CM,13.5,6,1,1,1,1,Male
28CM,11.6,6.5,0,1,0,0,Female
13CM,13.8,5.5,0,0,0,0,Female
2CM,12.8,6,0,1,1,1,Male
0CM,15.3,5.3,1,1,1,0,Male
11CM,12.8,5.6,1,1,0,1,Male
29CM,12,5.5,0,0,0,0,Female
7CM,14.6,5.4,1,1,1,1,Male
27CM,13.6,6.1,0,0,0,0,Female
10CM,14.1,6.9,0,1,1,1,Male
33CM,11.4,5.6,0,0,0,1,Female
4CM,11.6,5.2,1,1,1,1,Male
0CM,15,7.1,1,1,1,1,Male
10CM,14.7,6,1,1,1,1,Male
26CM,13.8,5.5,0,0,0,1,Female
32CM,11.7,5.6,0,0,0,0,Female
9CM,11.5,5.1,1,1,1,1,Male
1CM,14.6,6.9,1,1,1,1,Male
11CM,15.5,5.7,1,1,0,1,Male
36CM,13.8,6.2,0,0,0,0,Female
0CM,11.8,7,1,1,1,1,Male
43CM,14,5.3,0,0,0,0,Female
10CM,14,6.3,1,1,1,1,Male
9CM,14.8,5.7,1,1,1,1,Male
50CM,11.9,5.4,1,1,0,0,Female
34CM,11.9,5.8,1,0,0,0,Female
12CM,12.9,5.2,1,1,0,1,Male
1CM,15.3,6.3,1,1,0,1,Male
4CM,12.8,6,1,1,1,1,Male
7CM,14.3,5.5,1,1,1,1,Male
27CM,13.1,5.7,1,1,1,1,Male
43CM,13.9,6,0,0,0,0,Female
11CM,14.9,6.2,1,1,1,1,Male
4CM,14.6,5.2,1,1,1,1,Male
14CM,12.5,6.2,0,0,0,0,Female
2CM,14.4,7.1,1,1,1,1,Male
27CM,14.2,6.4,0,0,0,1,Female
7CM,12,6.4,1,1,0,1,Male
17CM,14,5.7,0,0,0,0,Female
